Player,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS▼
Myles Turner\turnemy01,65,1836,8.2,1.7,0.7,2.3,1.9,3.6,16.2
Andre Drummond\drumman01,78,2625,17.1,3.3,1.6,1.7,2.7,3.4,16.1
Nene Hilario\hilarne01,52,758,8.4,2.1,1.3,0.7,1.8,5.8,16.1
Robin Lopez\lopezro01,64,1690,6.2,2.6,0.3,1.1,2.3,2.3,16.1
Austin Rivers\riverau01,61,2057,2.5,4.2,1.3,0.3,1.9,2.7,16.1
Ricky Rubio\rubiori01,77,2254,5.6,6.5,1.9,0.2,3.3,3.3,16.1
Mirza Teletovic\teletmi01,10,159,5.2,2.3,0.9,0.2,1.6,3.2,16.1
Manu Ginobili\ginobma01,65,1299,3.9,4.5,1.2,0.4,2.9,3.5,16.0
Devin Harris\harride01,71,1340,3.4,4.1,1.3,0.3,2.0,4.2,16.0
James Michael McAdoo\mcadoja01,3,18,4.0,0.0,0.0,2.0,2.0,2.0,16.0
Emmanuel Mudiay\mudiaem01,64,1245,4.4,6.0,1.2,0.3,3.3,2.3,16.0
Meyers Leonard\leoname01,33,254,9.9,2.4,1.0,0.0,1.4,5.1,15.9
Elfrid Payton\paytoel01,63,1808,5.5,7.8,1.7,0.4,3.3,2.9,15.9
Derrick Favors\favorde01,77,2153,9.2,1.7,0.9,1.4,1.5,2.7,15.8
Brice Johnson\johnsbr02,18,98,11.4,0.7,3.3,2.2,1.8,4.8,15.8
Ish Smith\smithis01,82,2043,3.9,6.3,1.1,0.4,1.9,2.5,15.8
D.J. Augustin\augusdj01,75,1760,3.3,5.9,1.1,0.0,2.5,1.9,15.7
Malcolm Brogdon\brogdma01,48,1436,3.9,3.8,1.0,0.3,1.7,3.2,15.7
Bobby Brown\brownbo02,20,115,2.2,3.4,1.3,0.0,2.8,1.9,15.7
John Collins\collijo01,74,1785,10.9,2.0,0.9,1.6,2.1,4.3,15.7
Cheick Diallo\diallch01,52,581,13.1,1.2,0.7,1.3,1.7,5.1,15.7
Spencer Dinwiddie\dinwisp01,80,2306,4.0,8.2,1.1,0.4,2.0,2.9,15.7
Mario Hezonja\hezonma01,75,1657,6.1,2.3,1.8,0.7,1.9,2.9,15.7
Jodie Meeks\meeksjo01,77,1119,4.1,2.3,0.9,0.1,1.2,1.8,15.7
Terry Rozier\roziete01,80,2068,6.5,4.0,1.4,0.3,1.4,2.1,15.7
Ike Anigbogu\anigbik01,11,30,10.8,0.0,1.2,3.6,2.4,1.2,15.6
Troy Daniels\danietr01,79,1622,2.8,1.1,0.6,0.1,1.2,3.0,15.6
Ersan Ilyasova\ilyaser01,69,1729,8.4,1.9,1.3,0.5,1.5,3.3,15.6
Troy Williams\willitr02,21,307,7.4,1.9,2.3,0.5,2.2,4.0,15.6
Jeff Teague\teaguje01,70,2311,3.3,7.7,1.6,0.3,2.8,2.7,15.5
Fred VanVleet\vanvlfr01,76,1520,4.4,5.8,1.6,0.5,1.8,3.1,15.5
Pau Gasol\gasolpa01,77,1812,12.3,4.7,0.5,1.6,2.1,2.4,15.4
Daniel Hamilton\hamilda02,6,28,6.4,10.3,1.3,0.0,2.6,2.6,15.4
Joe Harris\harrijo01,78,1975,4.7,2.3,0.6,0.4,1.7,2.8,15.4
Reggie Hearn\hearnre01,3,7,0.0,0.0,0.0,0.0,0.0,0.0,15.4
Kyle Korver\korveky01,73,1574,3.8,2.0,0.7,0.6,1.3,3.0,15.4
Markieff Morris\morrima02,73,1968,7.5,2.6,1.0,0.7,2.3,4.0,15.4
Kelly Oubre\oubreke01,81,2231,5.9,1.6,1.3,0.6,1.5,3.8,15.4
Marcus Paige\paigema01,5,28,5.1,3.9,0.0,0.0,0.0,0.0,15.4
Steven Adams\adamsst01,76,2487,9.9,1.3,1.3,1.1,1.9,3.1,15.3
Darren Collison\collida01,69,2018,3.2,6.6,1.6,0.3,1.5,2.2,15.3
Bogdan Bogdanovic\bogdabo01,78,2175,3.7,4.3,1.2,0.3,2.1,2.8,15.2
Quinn Cook\cookqu01,33,740,4.0,4.3,0.6,0.0,1.6,2.9,15.2
Wayne Ellington\ellinwa01,77,2041,3.8,1.4,0.9,0.1,0.9,1.7,15.2
R.J. Hunter\hunterj01,5,45,4.0,2.4,2.4,0.0,1.6,5.6,15.2
Skal Labissiere\labissk01,60,1240,8.4,2.1,0.7,1.4,2.1,3.8,15.2
Joffrey Lauvergne\lauvejo01,55,534,11.5,2.8,0.6,0.2,2.2,3.0,15.2
Davis Bertans\bertada01,77,1086,5.1,2.5,0.9,0.9,1.2,3.1,15.1
Alex Len\lenal01,69,1395,13.4,2.1,0.7,1.6,2.0,4.1,15.1
Frank Mason\masonfr01,52,984,4.8,5.4,1.2,0.4,2.4,2.6,15.1
Shabazz Napier\napiesh01,74,1535,4.0,3.5,1.9,0.3,2.1,2.0,15.1
Tyler Dorsey\dorsety01,56,974,4.8,2.9,0.6,0.2,1.4,2.3,15.0
De'Aaron Fox\foxde01,73,2026,3.6,5.7,1.2,0.4,3.1,2.9,15.0
Langston Galloway\gallola01,58,863,3.8,2.4,1.5,0.2,0.8,1.6,15.0
Rudy Gobert\goberru01,56,1816,11.9,1.6,0.9,2.6,2.1,3.0,15.0
Richaun Holmes\holmeri01,48,746,10.2,2.9,1.0,1.4,1.2,4.7,15.0
Nick Young\youngni01,80,1393,3.2,0.9,1.0,0.2,1.0,2.6,15.0
Nick Collison\collini01,15,75,9.6,1.9,0.0,0.0,3.4,3.4,14.9
Raymond Felton\feltora01,82,1365,4.1,5.4,1.3,0.4,2.0,2.4,14.9
Jerami Grant\grantje01,81,1647,7.0,1.2,0.7,1.7,1.2,3.4,14.9
Tyler Johnson\johnsty01,72,2052,4.4,2.9,1.1,0.6,1.4,2.6,14.8
Luke Kornet\kornelu01,20,326,7.1,2.9,0.7,1.8,1.3,3.1,14.8
Chandler Parsons\parsoch01,36,691,4.7,3.6,0.9,0.6,1.8,2.8,14.8
Jarrett Allen\allenja01,72,1441,9.7,1.2,0.7,2.2,2.0,3.7,14.7
Isaiah Canaan\canaais01,20,422,3.8,6.5,1.4,0.1,2.5,3.1,14.7
Kenneth Faried\farieke01,32,461,11.9,1.4,0.9,1.0,1.8,4.0,14.7
Kay Felder\feldeka01,16,140,4.6,5.1,0.8,0.3,4.1,2.8,14.7
Al Horford\horfoal01,72,2277,8.4,5.4,0.7,1.2,2.1,2.2,14.7
Jalen Jones\jonesja04,16,181,7.6,0.8,1.0,0.2,1.4,4.4,14.7
Lance Stephenson\stephla01,82,1850,8.3,4.6,0.9,0.3,2.6,3.4,14.7
Omri Casspi\casspom01,53,740,9.7,2.5,0.9,0.9,1.8,3.4,14.6
James Johnson\johnsja01,73,1943,6.6,5.2,1.3,0.9,2.6,3.6,14.6
Reggie Bullock\bullore01,62,1732,3.2,2.0,1.0,0.3,1.0,1.5,14.5
Kentavious Caldwell-Pope\caldwke01,74,2458,5.7,2.4,1.6,0.2,1.4,2.1,14.5
Andrew Harrison\harrian01,56,1326,3.6,4.8,1.0,0.7,2.2,3.7,14.5
Larry Nance\nancela02,66,1421,11.5,2.1,2.2,1.0,1.3,4.4,14.5
Patrick Beverley\beverpa01,11,334,4.9,3.4,1.9,0.5,2.7,3.7,14.4
Dewayne Dedmon\dedmode01,62,1542,11.4,2.1,0.9,1.2,2.0,3.8,14.4
Jeremy Evans\evansje01,1,5,7.2,0.0,0.0,0.0,7.2,7.2,14.4
Gordon Hayward\haywago01,1,5,7.2,0.0,0.0,0.0,0.0,7.2,14.4
Mangok Mathiang\mathima01,4,20,18.0,0.0,1.8,0.0,0.0,9.0,14.4
Monte Morris\morrimo01,3,25,2.9,10.1,4.3,0.0,1.4,1.4,14.4
Dwight Powell\poweldw01,79,1672,9.6,2.0,1.4,0.7,1.3,4.0,14.4
Anthony Tolliver\tollian01,79,1757,4.9,1.8,0.7,0.4,1.2,3.0,14.4
Aaron Brooks\brookaa01,32,189,3.2,3.8,1.1,0.0,2.1,5.3,14.3
Robert Covington\covinro01,80,2532,6.2,2.2,1.9,1.0,1.8,3.4,14.3
Damion Lee\leeda03,15,404,6.3,2.6,1.7,0.1,1.2,2.2,14.3
Alfonzo McKinnie\mckinal01,14,53,4.8,0.7,0.7,0.7,2.0,5.4,14.3
Kyle O'Quinn\oquinky01,77,1387,12.2,4.1,0.9,2.5,2.6,5.0,14.3
Jason Smith\smithja02,33,285,6.7,1.8,0.4,1.6,2.0,5.6,14.3
Tyler Zeller\zellety01,66,1109,9.9,1.5,0.5,1.1,1.5,4.1,14.3
Markelle Fultz\fultzma01,14,253,6.1,7.5,1.7,0.6,2.4,3.1,14.2
Shaquille Harrison\harrish01,23,384,5.7,5.2,2.4,0.7,2.1,3.9,14.2
Courtney Lee\leeco01,76,2310,3.5,2.8,1.2,0.3,1.3,1.7,14.2
E'Twaun Moore\mooreet01,82,2586,3.3,2.6,1.1,0.2,1.4,2.5,14.2
Tony Parker\parketo01,55,1071,3.2,6.6,0.9,0.0,2.3,1.7,14.2
Ivica Zubac\zubaciv01,43,410,10.8,2.2,0.7,1.3,2.3,4.1,14.1
Patty Mills\millspa02,82,2107,2.6,3.9,0.9,0.2,1.8,2.2,14.0
Ivan Rabb\rabbiv01,36,516,11.0,2.2,0.8,0.9,2.4,3.8,14.0
Josh Richardson\richajo01,81,2689,3.8,3.1,1.6,1.0,1.9,2.7,14.0
Kyle Singler\singlky01,12,59,6.1,1.2,0.6,0.0,1.8,2.4,14.0
Derrick White\whitede01,17,139,6.7,2.3,1.0,0.8,1.6,2.1,14.0
Justin Holiday\holidju01,72,2265,4.6,2.4,1.3,0.5,1.5,2.1,13.9
Ben McLemore\mclembe01,56,1091,4.6,1.7,1.3,0.5,2.0,4.6,13.9
Thabo Sefolosha\sefolth01,38,806,7.2,1.5,2.3,0.5,1.3,2.6,13.9
Delon Wright\wrighde01,69,1433,5.0,5.0,1.8,0.8,2.0,2.0,13.9
Darrell Arthur\arthuda01,19,141,3.8,2.3,2.0,0.8,3.8,5.6,13.8
Dillon Brooks\brookdi01,82,2350,3.9,2.1,1.1,0.3,1.9,3.6,13.8
Damyean Dotson\dotsoda01,44,474,6.4,2.4,0.9,0.2,1.3,2.6,13.8
DeAndre Jordan\jordade01,77,2424,17.4,1.7,0.6,1.1,2.0,3.0,13.8
Mike Muscala\muscami01,53,1060,7.8,1.7,1.1,0.9,1.4,2.7,13.8
Zaza Pachulia\pachuza01,69,972,11.9,4.0,1.4,0.6,2.7,4.5,13.8
Jamil Wilson\wilsoja02,15,274,4.2,1.3,0.7,1.1,1.1,4.5,13.8
Jeff Withey\witheje01,9,39,9.2,0.0,0.0,2.8,1.8,2.8,13.8
Deyonta Davis\davisde01,62,943,9.5,1.5,0.6,1.5,1.2,4.8,13.7
Channing Frye\fryech01,53,695,7.0,2.0,0.9,0.7,1.1,3.6,13.7
Luke Kennard\kennalu01,73,1463,4.3,3.1,1.1,0.3,1.7,2.1,13.7
Cameron Payne\payneca01,25,582,4.3,7.0,1.6,0.6,2.2,2.7,13.7
Isaiah Taylor\taylois01,67,1167,2.9,6.4,1.0,0.3,2.6,3.6,13.7
Tony Allen\allento01,22,273,6.2,1.2,1.5,0.4,2.5,6.5,13.6
Ian Clark\clarkia01,74,1455,3.1,2.7,0.8,0.2,1.4,3.0,13.6
Danuel House\houseda01,23,403,6.8,2.2,0.6,0.5,1.0,2.1,13.6
Jonas Jerebko\jerebjo01,74,1134,7.8,1.3,0.8,0.4,0.9,4.0,13.6
Milos Teodosic\teodomi01,45,1134,4.0,6.6,0.7,0.2,3.1,3.3,13.6
Andre Ingram\ingraan01,2,64,3.4,3.9,1.7,1.7,1.7,1.7,13.5
Wesley Matthews\matthwe02,63,2131,3.3,2.9,1.3,0.3,1.4,2.4,13.5
Dejounte Murray\murrade01,81,1743,9.5,4.8,2.0,0.6,2.8,3.1,13.5
Denzel Valentine\valende01,77,2095,6.8,4.2,1.1,0.2,1.7,3.2,13.5
Nicolas Batum\batumni01,64,1981,5.6,6.3,1.2,0.4,2.4,1.3,13.4
Josh Gray\grayjo01,5,86,4.2,5.0,3.3,0.8,2.9,3.3,13.4
Jakob Poeltl\poeltja01,82,1524,9.3,1.3,0.9,2.4,2.0,5.0,13.4
Marvin Williams\willima02,78,2006,6.6,1.7,1.0,0.7,1.2,2.1,13.4
Joe Young\youngjo01,53,558,4.1,2.5,0.9,0.1,1.7,2.5,13.4
Cody Zeller\zelleco01,33,627,10.2,1.8,0.8,1.2,1.9,4.7,13.4
Trevor Booker\booketr01,68,1158,9.9,2.5,0.9,0.7,1.8,3.7,13.3
