Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
7/9/17,The Greenbrier Classic,T20,67,72,71,64,--,274,-6,39,38
7/23/17,The Open Championship,CUT,73,77,--,--,--,150,10,41,--
08/06/17,World Golf Championships-Bridgestone Invitational,T39,71,72,72,67,--,282,2,45,19
08/13/17,PGA Championship,CUT,79,74,--,--,--,153,11,49,--
08/27/17,THE NORTHERN TRUST,T54,72,68,71,75,--,286,6,51,22
9/4/17,Dell Technologies Championship,T6,69,67,69,68,--,273,-11,51,355
9/17/17,BMW Championship,T20,66,69,69,70,--,274,-10,51,157
10/1/17,Presidents Cup *,1,--,--,--,--,--,--,--,--,--
1/24/16,CareerBuilder Challenge in partnership with the Clinton Foundation,T3,68,65,66,68,--,267,-21,73,145
01/31/16,Farmers Insurance Open,CUT,69,76,--,--,--,145,1,87,--
2/7/16,Waste Management Phoenix Open,T11,69,71,65,71,--,276,-8,58,65
02/14/16,AT&T Pebble Beach Pro-Am,2,68,65,66,72,--,271,-16,16,300
2/28/16,The Honda Classic,T37,69,74,70,70,--,283,3,18,32
3/6/16,World Golf Championships-Cadillac Championship,5,67,72,70,70,--,279,-9,16,115
3/27/16,World Golf Championships-Dell Match Play,T18,--,--,--,--,--,--,--,19,49
04/03/16,Shell Houston Open,T13,69,71,71,69,--,280,-8,19,56
4/10/16,Masters Tournament,CUT,72,79,--,--,--,151,7,21,--
4/24/16,Valero Texas Open,CUT,77,71,--,--,--,148,4,24,--
05/08/16,Wells Fargo Championship,T4,69,70,76,66,--,281,-7,18,109
5/15/16,THE PLAYERS Championship,CUT,70,73,--,--,--,143,-1,20,--
6/5/16,the Memorial Tournament presented by Nationwide,T20,68,69,69,72,--,278,-10,22,48
6/12/16,FedEx St. Jude Classic,T2,70,65,68,67,--,270,-10,15,208
6/19/16,U.S. Open,CUT,74,73,--,--,--,147,7,18,--
07/03/16,World Golf Championships-Bridgestone Invitational,T27,73,70,73,68,--,284,4,18,42
7/17/16,The Open Championship,2,63,69,70,65,--,267,-17,5,330
7/31/16,PGA Championship,T33,71,70,68,68,--,277,-3,6,34
08/28/16,The Barclays,T13,70,73,70,68,--,281,-3,8,226
09/05/16,Deutsche Bank Championship,CUT,75,72,--,--,--,147,5,8,--
9/11/16,BMW Championship,T24,68,73,71,70,--,282,-6,8,174
9/25/16,TOUR Championship,22,74,72,69,66,--,281,1,8,196
01/25/15,Humana Challenge in partnership with the Clinton Foundation,T24,71,66,68,68,--,273,-15,157,45
02/01/15,Waste Management Phoenix Open,CUT,69,76,--,--,--,145,3,165,--
2/8/15,Farmers Insurance Open,CUT,74,72,--,--,--,146,2,168,--
3/1/15,The Honda Classic,T17,71,67,69,73,--,280,E,150,52
3/8/15,World Golf Championships-Cadillac Championship,T31,74,74,71,72,--,291,3,145,37
03/29/15,Valero Texas Open,T30,70,72,74,76,--,292,4,135,39
4/5/15,Shell Houston Open,T17,66,67,75,71,--,279,-9,120,51
4/12/15,Masters Tournament,T2,70,68,67,69,--,274,-14,42,270
05/10/15,THE PLAYERS Championship,CUT,73,76,--,--,--,149,5,59,--
